"tf","fam","target","dna_binding.conservation","dna_binding.dapSeq","coDiffExp_0PF","coDiffExp_P0F","coDiffExp_0P0F","coDiffExp","p.rf","rank","mode_of_regulation"
"AT3G16280","AP2/ERF-ERF","AT1G65910",0,1,0,0,0,0,0.968278065985313,1.96827806598531,"activation"
"AT4G17900","PLATZ","AT5G54230",0,0,0,0,1,1,0.968227740336427,1.96822774033643,"activation"
"AT5G54230","MYB","AT4G09760",0,1,0,0,0,0,0.968219352728279,1.96821935272828,"activation"
"AT4G17490","AP2/ERF-ERF","AT4G01140",0,0,0,0,1,1,0.968189996099762,1.96818999609976,"repression"
"AT1G77200","AP2/ERF-ERF","AT3G13310",0,1,0,0,0,0,0.968164833275319,1.96816483327532,"repression"
"AT1G77200","AP2/ERF-ERF","AT4G01220",0,1,0,0,0,0,0.96814386425495,1.96814386425495,"activation"
"AT5G54230","MYB","AT1G76790",0,1,0,0,0,0,0.968072569585694,1.96807256958569,"activation"
"AT3G16280","AP2/ERF-ERF","AT2G40250",0,1,0,0,0,0,0.96806837578162,1.96806837578162,"activation"
"AT1G77200","AP2/ERF-ERF","AT5G20950",0,1,0,0,0,0,0.968064181977546,1.96806418197755,"activation"
"AT5G54230","MYB","AT5G23190",0,1,0,0,0,0,0.967892236010518,1.96789223601052,"activation"
"AT3G16280","AP2/ERF-ERF","AT2G47260",0,1,0,0,0,0,0.967753840476081,1.96775384047608,"activation"
"AT1G77200","AP2/ERF-ERF","AT2G37790",0,1,0,0,0,0,0.967749646672007,1.96774964667201,"activation"
"AT3G16280","AP2/ERF-ERF","AT5G02130",0,1,0,0,0,0,0.967707708631268,1.96770770863127,"repression"
"AT5G54230","MYB","AT5G54510",0,1,0,0,0,0,0.967657382982382,1.96765738298238,"activation"
"AT5G54230","MYB","AT2G43140",0,1,0,0,0,0,0.96746027419091,1.96746027419091,"repression"
"AT1G77200","AP2/ERF-ERF","AT2G02070",0,1,0,0,0,0,0.967317684852399,1.9673176848524,"activation"
"AT1G77200","AP2/ERF-ERF","AT1G66520",0,1,0,0,0,0,0.967300909636104,1.9673009096361,"activation"
"AT1G77200","AP2/ERF-ERF","AT1G35210",0,1,0,0,0,0,0.966986374330564,1.96698637433056,"repression"
"AT5G54230","MYB","AT5G19410",0,1,0,0,0,0,0.966969599114269,1.96696959911427,"activation"
"AT1G77200","AP2/ERF-ERF","AT2G34470",0,1,0,0,0,0,0.966952823897973,1.96695282389797,"activation"
"AT3G16280","AP2/ERF-ERF","AT3G13350",0,1,0,0,0,0,0.966877335424644,1.96687733542464,"repression"
"AT5G54230","MYB","AT1G68740",0,1,0,0,0,0,0.966864754012422,1.96686475401242,"activation"
"AT1G77200","AP2/ERF-ERF","AT3G60110",0,1,0,0,0,0,0.966835397383905,1.96683539738391,"activation"
"AT1G77200","AP2/ERF-ERF","AT3G03320",0,1,0,0,0,0,0.966659257612803,1.9666592576128,"activation"
